epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.5879917465978198,0.5832097305191888,0.7,0.7057971014492753,0.974,0.8184873949579832
2,0.55869124200609,0.581324757470025,0.7263888888888889,0.723781388478582,0.98,0.832625318606627
3,0.5391482604874505,0.5728073928091261,0.7180555555555556,0.7253414264036419,0.956,0.8248490077653149
4,0.511447991265191,0.6517266366216872,0.7,0.7011331444759207,0.99,0.8208955223880597
5,0.492086488670773,0.7870167970657349,0.5513888888888889,0.8365019011406845,0.44,0.5766710353866317
6,0.4808277236090766,0.56900059249666,0.7291666666666666,0.7938342967244701,0.824,0.8086359175662414
7,0.4624070922533671,0.6484449704488119,0.6055555555555555,0.7213114754098361,0.704,0.7125506072874493
8,0.4318177092406485,0.5657177673445808,0.7222222222222222,0.7459016393442623,0.91,0.8198198198198198
9,0.41230259637037914,0.574610196881824,0.7263888888888889,0.7334360554699538,0.952,0.8285465622280244
10,0.38846300376786125,0.5497095068295796,0.7305555555555555,0.806,0.806,0.806
11,0.3583198121852345,0.507565873199039,0.7444444444444445,0.7811387900355872,0.878,0.8267419962335216
12,0.3307029985719257,0.5769326448440552,0.7138888888888889,0.8181818181818182,0.756,0.7858627858627859
13,0.3205898423989614,0.6042959557639228,0.7722222222222223,0.7818791946308725,0.932,0.8503649635036497
14,0.27910960300101173,0.7755392644140455,0.7555555555555555,0.7934782608695652,0.876,0.8326996197718631
15,0.25689842734071944,0.8973361372947692,0.7402777777777778,0.781981981981982,0.868,0.8227488151658767
